time,lat,lon,altitude,groundspeed,gamma,sigma,airspeed,lift,thrust,command_vel,command_gamma,command_sigma,command_airspeed,command_lift,command_thrust
172.40000000000495,36.178841824324394,-112.28330640171569,8944.95810855825,163.73800904760608,0.07110129412454422,3.2986627000732773,163.73800904760608,79.78661010543962,19.255355032149012,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78739796493092,19.254290490453396
172.45000000000496,36.17881972466685,-112.2833107378392,8945.539706090078,163.7379871261753,0.07109991349945649,3.298662736011963,163.73798712617528,79.78663002863631,19.255243193379677,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78741703641197,19.254179793232872
172.50000000000497,36.178797625010844,-112.2833150739622,8946.121292281734,163.7379652282858,0.0710985343550335,3.2986627718159247,163.73796522828582,79.78664993029524,19.255131474539194,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.7874360872843,19.254069214715727
172.55000000000499,36.17877552535635,-112.28331941008467,8946.702867145385,163.73794335391213,0.07109715668968535,3.2986628074856674,163.73794335391213,79.7866698104399,19.255019875498817,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78745511757036,19.253958754774523
172.600000000005,36.178753425703384,-112.28332374620662,8947.28443069318,163.73792150302904,0.07109578050182387,3.298662843021694,163.73792150302904,79.78668966909375,19.254908396129938,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78747412729258,19.253848413281993
172.650000000005,36.17873132605194,-112.28332808232804,8947.865982937257,163.73789967561123,0.07109440578986263,3.298662878424506,163.73789967561123,79.78670950628023,19.25479703630409,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.7874931164734,19.253738190110973
172.70000000000502,36.17870922640201,-112.28333241844892,8948.447523889741,163.73787787163343,0.07109303255221687,3.2986629136946024,163.73787787163343,79.78672932202277,19.254685795892946,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78751208513516,19.253628085134448
172.75000000000503,36.17868712675361,-112.28333675456926,8949.029053562745,163.7378560910704,0.07109166078730356,3.298662948832481,163.7378560910704,79.78674911634474,19.25457467476831,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78753103330027,19.25351809822554
172.80000000000504,36.17866502710672,-112.28334109068908,8949.610571968366,163.73783433389693,0.07109029049354135,3.298662983838637,163.73783433389696,79.78676888926951,19.25446367280213,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78754996099103,19.25340822925752
172.85000000000505,36.17864292746134,-112.28334542680835,8950.19207911869,163.73781260008784,0.0710889216693506,3.2986630187135644,163.73781260008784,79.78678864082042,19.25435278986649,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78756886822977,19.253298478103773
172.90000000000506,36.17862082781748,-112.28334976292707,8950.773575025789,163.737790889618,0.07108755431315339,3.298663053457755,163.737790889618,79.78680837102077,19.254242025833612,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78758775503877,19.25318884463783
172.95000000000508,36.17859872817513,-112.28335409904525,8951.355059701724,163.73776920246226,0.07108618842337347,3.298663088071699,163.73776920246226,79.78682807989385,19.254131380575853,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.7876066214403,19.253079328733335
173.0000000000051,36.178576628534294,-112.28335843516288,8951.936533158541,163.73774753859553,0.0710848239984363,3.298663122555885,163.7377475385955,79.78684776746293,19.25402085396571,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.7876254674566,19.25296993026412
173.0500000000051,36.17855452889498,-112.28336277127994,8952.517995408276,163.73772589799273,0.07108346103676903,3.2986631569107985,163.73772589799273,79.78686743375123,19.253910445875817,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78764429310988,19.252860649104107
173.1000000000051,36.17853242925716,-112.28336710739646,8953.099446462948,163.73770428062883,0.07108209953680052,3.2986631911369244,163.73770428062883,79.78688707878194,19.253800156178947,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78766309842233,19.252751485127376
